success,collision,timeout,battery_dead,path_length_m,straight_line_m,path_efficiency,energy_j,energy_per_meter_j,flight_time_s,final_goal_distance_m,min_clearance_m,episode,return_goal,return_energy,return_safety
True,False,False,False,56.58255177110726,49.8690727507536,0.881350720138752,860.7327791151097,15.211982354507834,5.0,2.9322172001569013,6.845572927630548,0,94.4368555505967,-22.988293109490133,-0.6836612677734719
True,False,False,False,61.6930662764566,48.14828387505324,0.7804488702067911,978.612278058576,15.862597486616345,6.0,2.775497085290044,6.023399958906798,1,92.37278678976318,-26.136597134925463,0.0
True,False,False,False,68.48899548677274,64.19864830630337,0.9373571308795445,865.3203467411994,12.63444354222305,5.2,2.51150964965385,11.418305153826228,2,109.0871386566495,-23.110817023772317,-10.853789173877239
True,False,False,False,51.51937318344849,49.708524415759825,0.9648511102563175,650.7929435595255,12.632004299473975,4.4,2.879139420425517,7.696814674070345,3,94.6293849953343,-17.381258508029347,-0.013117246802539964
True,False,False,False,47.15854176977039,47.06878637671081,0.9980967309485996,658.4841895478598,13.963200829292012,4.6000000000000005,2.809992624819653,4.526319937528811,4,91.95879375189115,-17.586674894446965,-1.0
True,False,False,False,51.99132667735782,41.77354633574361,0.8034714442848783,908.8960844907024,17.481686707689377,5.4,2.058363797925928,17.57311975351522,5,87.01518253781768,-24.274629830898927,-14.237059799770227
True,False,False,False,45.58927585142372,45.04340973859658,0.9880264359845037,627.8003946476388,13.770791110910638,4.800000000000001,2.919458434949443,7.725237368308132,6,89.72395130364713,-16.767177731107925,-0.06225306437334681
True,False,False,False,51.22804985123741,48.3714210227356,0.9442370178681943,518.5675261188142,10.12272627251471,4.4,2.8610790574926175,10.983006210768199,7,93.31034196524297,-13.84980632402317,-11.00838934278492
False,True,False,False,12.264759862081917,42.883203367608935,3.4964568283304,210.01034394205703,17.12307018674952,1.6,31.01465716288009,0.1131677288565256,8,11.068546204728845,-5.6089177265075465,-52.945981081237804
True,False,False,False,79.52983825707243,58.79955982150789,0.7393396127808541,1172.726059303647,14.745736757478678,7.0,2.607083363022497,4.326051051666527,9,102.6924764584854,-31.320952382137875,-7.0
True,False,False,False,49.53184689766817,44.81344146879137,0.9047399658117952,795.5701200798131,16.06178993735981,4.6000000000000005,2.5600617939239596,8.501279619814502,10,89.9533796748674,-21.247940770129734,-2.6191644823121245
True,False,False,False,46.187676312589176,42.812725343117876,0.9269296219487144,951.6017266558376,20.602935731505152,5.2,2.4797456542274134,8.565170488154635,11,87.73297968889045,-25.415204284831564,-2.177008864589695
True,False,False,False,50.75105395094333,44.30672688704612,0.8730208229739153,864.9992484846097,17.043966206509324,5.2,2.5185288921467,11.990301172277935,12,89.18819799489941,-23.102241190460816,-0.7344952590830348
